"Sample","DropVariable","TrainingVariableSet","TrainingEvents","AddVariable","BackgroundSample","FlattenBy","Performance","BDTLeafMinFraction","VariableTransform","ExtraFlags","BDTrainingTreeDepth","JobId"
"1000pi400lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.831350512817471","1","","","50","530"
"1000pi400lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.772013458654802","1","","","50","530"
"1000pi50lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.723849932031056","1","","","50","530"
"600pi50lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.565652995310259","1","","","50","530"
"200pi50lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.224579490980341","1","","","50","530"
"400pi50lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.379003838799305","1","","","50","530"
"600pi150lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.622171594260767","1","","","50","530"
"400pi100lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.440455402363927","1","","","50","530"
"200pi25lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.167523494889096","1","","","50","530"
"200pi8lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.144852046365231","1","","","50","530"
"TestingSignalEvents","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.504752212977689","1","","","50","530"
"TrainingSignalEvents","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.504752212977689","1","","","50","530"
"200pi25lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.165917254223796","0.5","","","50","531"
"400pi100lt9mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.493547589616045","0.5","","","50","531"
"600pi150lt9mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.626292993631041","0.5","","","50","531"
"100pi25lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.122296771964022","0.5","","","50","531"
"125pi25lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.137055290865359","0.5","","","50","531"
"125pi25lt9m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.163223267919159","0.5","","","50","531"
"125pi40lt9m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.197554163206434","0.5","","","50","531"
"125pi55lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.191577220209271","0.5","","","50","531"
"125pi55lt9m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.217815116999392","0.5","","","50","531"
"200pi50lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.223471114334563","0.5","","","50","531"
"200pi50lt9mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.270193349157684","0.5","","","50","531"
"400pi50lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.333375212573391","0.5","","","50","531"
"400pi100lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.470359496057422","0.5","","","50","531"
"600pi50lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.365501604756863","0.5","","","50","531"
"600pi50lt9mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.377542954127298","0.5","","","50","531"
"600pi150lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.615316177072741","0.5","","","50","531"
"1000pi50lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.363286625524685","0.5","","","50","531"
